territoryid,provincename,countryregion
6,Alberta,Canada
1,Alaska,United States
5,Alabama,United States
3,Arkansas,United States
1,American Samoa,United States
4,Arizona,United States
6,British Columbia,Canada
8,Bayern,Germany
4,California,United States
3,Colorado,United States
2,Connecticut,United States
2,District of Columbia,United States
2,Delaware,United States
10,England,United Kingdom
5,Florida,United States
9,Micronesia,Australia
5,Georgia,United States
4,Guam,United States
8,Hessen,Germany
8,Hamburg,Germany
1,Hawaii,United States
3,Iowa,United States
1,Idaho,United States
3,Illinois,United States
2,Indiana,United States
3,Kansas,United States
5,Kentucky,United States
3,Louisiana,United States
6,Labrador,Canada
2,Massachusetts,United States
6,Manitoba,Canada
2,Maryland,United States
2,Maine,United States
9,Marshall Islands,Australia
3,Michigan,United States
3,Minnesota,United States
3,Missouri,United States
9,Northern Mariana Islands,Australia
5,Mississippi,United States
1,Montana,United States
6,Brunswick,Canada
5,North Carolina,United States
3,North Dakota,United States
3,Nebraska,United States
6,Newfoundland,Canada
2,New Hampshire,United States
2,New Jersey,United States
4,New Mexico,United States
6,Nova Scotia,Canada
9,New South Wales,Australia
6,Northwest Territories,Canada
1,Nevada,United States
8,Nordrhein-Westfalen,Germany
2,New York,United States
2,Ohio,United States
3,Oklahoma,United States
6,Ontario,Canada
1,Oregon,United States
2,Pennsylvania,United States
6,Prince Edward Island,Canada
5,Puerto Rico,United States
9,Palau,Australia
6,Quebec,Canada
9,Queensland,Australia
2,Rhode Island,United States
9,South Australia,Australia
5,South Carolina,United States
3,South Dakota,United States
6,Saskatchewan,Canada
8,Saarland,Germany
9,Tasmania,Australia
5,Tennessee,United States
4,Texas,United States
1,Utah,United States
5,Virginia,United States
5,Virgin Islands,United States
9,Victoria,Australia
2,Vermont,United States
1,Washington,United States
3,Wisconsin,United States
5,West Virginia,United States
1,Wyoming,United States
6,Yukon Territory,Canada
7,France,France
8,Brandenburg,Germany
8,Saxony,Germany
7,Ain,France
7,Aisne,France
7,Allier,France
7,Alpes-de-Haute Provence,France
7,Alpes (Haute),France
7,Alpes-Maritimes,France
7,Ardèche,France
7,Ardennes,France
7,Ariège,France
7,Aube,France
7,Aude,France
7,Aveyron,France
7,Bouches du Rhône,France
7,Calvados,France
7,Cantal,France
7,Charente,France
7,Charente-Maritime,France
7,Cher,France
7,Corrèze,France
7,Corse,France
7,Côte d'Or,France
7,Côtes-d'Armor,France
7,Creuse,France
7,Dordogne,France
7,Toubs,France
7,Drôme,France
7,Eure,France
7,Eure et Loir,France
7,Finistère,France
7,Gard,France
7,Garonne (Haute),France
7,Gers,France
7,Gironde,France
7,Hérault,France
7,Ille et Vilaine,France
7,Indre,France
7,Indre et Loire,France
7,Isère,France
7,Jura,France
7,Landes,France
7,Loir et Cher,France
7,Loire,France
7,Loire (Haute),France
7,Loire Atlantique,France
7,Loiret,France
7,Lot,France
7,Lot et Garonne,France
7,Lozère,France
7,Maine et Loire,France
7,Manche,France
7,Marne,France
7,Marne (Haute),France
7,Mayenne,France
7,Meurthe et Moselle,France
7,Meuse,France
7,Morbihan,France
7,Moselle,France
7,Nièvre,France
7,Nord,France
7,Oise,France
7,Orne,France
7,Pas de Calais,France
7,Puy de Dôme,France
7,Pyrénées Atlantiques,France
7,Pyrénées (Hautes),France
7,Pyrénées Orientales,France
7,Rhin (Bas),France
7,Rhin (Haut),France
7,Rhône,France
7,Saône (Haute),France
7,Saône et Loire,France
7,Sarthe,France
7,Savoie,France
7,Savoie Haute,France
7,Seine (Paris),France
7,Seine Maritime,France
7,Seine et Marne,France
7,Yveline,France
7,Sèvres (Deux),France
7,Somme,France
7,Tarne,France
7,Tarne et Garonne,France
7,Var,France
7,Vaucluse,France
7,La Vendée,France
7,Vienne,France
7,Vienne (Haute),France
7,Vosges,France
7,Yonne,France
7,Belford (Territoire de),France
7,Essonne,France
7,Hauts de Seine,France
7,Seine Saint Denis,France
7,Val de Marne,France
7,Val d'Oise,France
